yr	.pyc	.vncserver	.jp	.dat	.coffee	.doc	.result	.w2v	.01	.xls	.mp4	.caffemodel	.png	.hex	.gif	.jar	.cfg	.jpg	.bc	other
1998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
1999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	96
2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
2003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
2009	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	128
2010	0	0	0	0	0	8	0	0	0	0	24	0	0	0	0	0	0	0	0	240
2011	0	0	0	8	0	8	0	0	0	0	40	0	0	0	0	0	0	0	0	192
2012	0	0	0	0	0	8	0	0	0	0	56	0	0	0	0	0	0	8	0	280
2013	0	0	0	0	0	8	0	0	0	0	8	0	0	16	0	0	0	0	0	848
2014	0	0	0	0	0	0	0	0	0	0	40	0	8	0	0	0	0	8	0	584
2015	8	0	0	0	0	0	0	0	0	0	16	0	8	0	0	0	0	16	0	928
2016	0	0	0	0	0	0	0	0	0	0	32	16	32	8	16	0	0	208	0	2000
2017	0	8	0	0	8	32	0	8	0	0	40	0	0	0	0	8	0	104	8	2136
2018	0	0	8	0	0	0	0	0	0	0	16	0	24	0	16	0	0	144	0	1096
2019	0	0	8	0	0	8	32	0	8	8	40	0	40	0	0	0	8	88	0	1216
